51,284
162,228
70,35
39,244
9,288
77,161
99,178
186,41
226,47
116,201
207,286
9,14
139,49
295,268
104,267
72,299
200,21
148,56
238,209
193,110
3,159
77,47
60,219
7,171
84,28
234,13
48,74
12,97
63,85
76,103
162,132
236,259
233,64
72,245
276,154
66,63
85,71
281,12
196,27
153,38
80,35
275,101
250,268
179,242
199,141
97,49
159,152
208,51
248,121
72,82
29,247
192,135
95,235
258,72
77,214
195,16
54,18
59,106
196,287
48,88
124,42
110,205
219,225
163,151
208,202
272,256
270,155
257,210
193,166
265,148
190,263
68,80
12,38
109,50
267,67
233,64
77,16
295,231
0,101
29,286
81,127
112,245
9,119
40,219
293,59
103,18
84,152
230,46
270,62
11,69
100,177
94,101
259,201
291,235
99,205
240,212
7,224
31,183
125,102
188,280
294,234
252,116
156,205
295,7
152,178
84,143
25,4
96,60
39,50
273,40
284,48
96,112
43,195
290,141
198,69
37,291
171,292
276,68
63,70
72,37
97,94
2,258
34,242
234,68
254,187
196,120
289,242
296,119
120,81
198,213
264,151
77,106
224,41
276,181
18,92
275,82
295,12
64,197
68,47
252,196
186,89
286,11
177,115
169,93
240,49
219,225
169,185
12,286
67,200
157,251
138,282
33,117
240,185
243,149
21,52
43,74
230,61
140,286
106,94
28,194
164,46
20,163
26,114
165,122
59,290
113,63
123,152
214,8
170,164
230,260
281,156
48,79
73,103
48,92
100,133
295,36
145,234
207,108
109,201
227,78
169,24
120,138
30,2
135,185
23,79
51,16
60,79
7,130
17,224
156,163
186,46
28,173
234,13
35,128
53,139
2,192
234,276
101,280
276,125
249,208
126,205
50,220
112,245
209,29
237,139
166,216
230,186
27,171
142,18
117,60
45,114
40,219
136,164
145,225
245,29
294,2
203,55
170,17
203,99
236,281
226,286
170,119
129,100
252,153
246,159
297,174
261,206
52,28
27,297
250,157
275,74
39,105
171,54
82,247
111,181
162,73
130,231
112,263
275,290
169,71
182,233
63,9
175,231
295,36
53,136
164,141
105,57
245,29
109,251
243,156
186,4
140,29
296,119
95,235
251,18
245,189
179,178
95,235
61,65
275,189
28,276
295,88
54,131
47,240
214,8
163,171
79,107
116,70
295,5
181,236
105,272
60,156
214,149
135,185
174,29
251,18
198,69
293,279
39,244
44,23
75,210
192,75
140,13
250,50
127,277
18,274
98,244
291,106
264,108
68,220
100,43
9,288
210,174
219,120
289,146
186,18
171,194
120,240
196,146
265,27
171,170
63,22
213,197
86,170
77,234
54,18
33,153
71,230
228,118
43,195
127,238
61,82
220,143
202,92
252,250
181,236
234,259
177,11
273,261
62,60
25,237
208,254
249,245
175,126
238,257
210,195
291,248
129,69
169,24
9,14
127,160
20,180
139,159
161,203
220,20
188,65
263,186
118,38
180,73
224,149
243,153
103,202
174,227
167,38
43,184
289,235
15,103
298,32
67,104
240,297
6,65
188,185
39,188
157,261
113,295
90,57
223,206
126,58
90,117
161,247
226,185
267,105
72,82
98,246
15,123
273,125
286,263
274,239
212,159
26,293
123,36
172,273
39,170
2,258
71,252
207,95
223,258
100,115
10,115
279,181
162,228
41,97
25,104
250,185
230,142
138,67
52,28
73,103
270,155
224,149
15,268
209,162
4,64
292,291
186,46
113,156
